ID	unlock	value	hasGameplayMod	maxNb	dropType	audio	tags	structure	shopExclude	endlessLimit
30121	0	55	0	-1	0		stat_ranged_damage,stat_range	0	0	-1
30122	0	48	0	-1	0		stat_luck	0	0	-1
30123	0	60	0	-1	0		stat_max_hp,stat_hp_regeneration	0	0	-1
30124	0	100	1	1	0		pickup	0	0	1
30125	0	60	0	-1	0		stat_ranged_damage,stat_attack_speed	0	0	-1
30126	1	40	1	1	0		less_enemy_speed	0	0	1
30127	0	25	1	-1	0		stat_elemental_damage	0	0	-1
30128	1	120	1	-1	0		stat_percent_damage,stat_attack_speed	0	0	-1
30129	0	60	1	-1	0		stat_attack_speed,stand_still	0	0	-1
30130	0	70	1	1	0		stat_engineering,stat_elemental_damage	0	0	1
30131	0	50	0	-1	0		stat_crit_chance	0	0	-1
30132	0	50	1	-1	0			0	0	-1
30133	0	15	0	-1	0		stat_speed	0	0	-1
30134	0	55	0	-1	0		stat_engineering	0	0	-1
30135	0	110	1	1	0		stat_max_hp	0	0	1
30136	0	20	0	-1	0		stat_elemental_damage	0	0	-1
30137	0	70	0	-1	0		stat_harvesting	0	0	-1
30138	0	15	0	-1	0		exploration	0	0	-1
30139	0	65	0	-1	0		stat_percent_damage,stat_armor	0	0	-1
30140	0	15	1	-1	0		stat_engineering	1	0	-1
30141	0	40	1	-1	0		stat_engineering	1	0	-1
30142	0	40	1	-1	0		stat_engineering	1	0	-1
30143	0	65	1	-1	0		stat_engineering	1	0	-1
30144	0	80	1	-1	0		stat_engineering	1	0	-1
30145	0	75	1	-1	0		stat_engineering	1	0	-1
30146	0	25	1	1	0		less_enemy_speed	0	0	1
30147	0	92	1	-1	0		stat_percent_damage	0	0	-1
30148	0	60	1	-1	0		less_enemy_speed	1	0	-1
30149	0	80	0	-1	0		stat_armor,stat_max_hp	0	0	-1
30150	0	20	0	-1	0		stat_luck	0	0	-1
30151	0	12	0	-1	0		stat_max_hp	0	0	-1
30152	0	85	0	-1	0		stat_melee_damage,stat_ranged_damage,stat_harvesting	0	0	-1
30153	0	40	0	-1	0		stat_harvesting	0	0	-1
30154	1	40	0	-1	0		stat_lifesteal	0	0	-1
30155	0	40	0	1	0		stat_harvesting,less_enemies	0	0	1
30156	0	85	0	-1	0		stat_speed,stat_range	0	0	-1
30157	0	85	1	1	0		stat_percent_damage	0	0	1
30158	0	90	0	-1	0		stat_elemental_damage,stat_luck	0	0	-1
30159	0	100	0	-1	0		stat_lifesteal	0	0	-1
30160	0	100	0	-1	0		stat_max_hp,stat_luck	0	0	-1
30161	1	40	0	4	0		stat_max_hp,stat_luck,explosive	0	0	4
30162	0	32	0	5	0		stat_crit_chance	0	0	5
30163	0	70	0	-1	0			0	0	-1
30164	0	25	0	-1	0			0	0	-1
30165	0	50	0	-1	0		xp_gain	0	0	-1
30166	0	100	0	-1	0		stat_crit_chance,stat_luck	0	0	-1
30167	0	60	0	-1	0		stat_dodge	0	0	-1
30168	0	40	0	-1	0		stat_dodge,stat_melee_damage	0	0	-1
30169	0	50	0	-1	0			1	0	-1
30170	0	70	0	-1	0		stat_elemental_damage	0	0	-1
30171	0	100	0	-1	0		stat_crit_chance	0	0	-1
30172	1	45	0	-1	0		stat_hp_regeneration	0	0	-1
30173	0	80	0	1	0		stat_range,stat_hp_regeneration,stat_engineering	0	0	1
30174	1	80	0	1	0		stat_armor,stat_max_hp	0	0	1
30175	1	85	0	1	0		stat_hp_regeneration	0	0	1
30176	0	75	0	1	0		stat_engineering,exploration	0	0	1
30177	0	25	0	1	0		piercing	0	0	1
39000	0	0	0	1	0			0	1	1
39001	0	0	0	1	0			0	1	1
39002	0	0	0	1	0			0	1	1
39003	0	0	0	1	0			0	1	1
39004	0	0	0	1	0			0	1	1
39005	0	0	0	1	0			0	1	1
39006	0	0	0	1	0			0	1	1
39007	0	0	0	1	0			0	1	1
39008	0	0	0	1	0			0	1	1
39009	0	0	0	1	0			0	1	1
39010	0	0	0	1	0			0	1	1
38001	0	0	0	1	0			0	1	1
38002	0	0	0	1	0			0	1	1
38003	0	0	0	1	0			0	1	1
