ID	name	desc	res	type	content	param
68101	TOTEM_MALL_GIFT1	图腾礼包1	goods_box_1	11	68002,340#68003,1	-1
68102	TOTEM_MALL_GIFT2	图腾礼包2	goods_box_2	11	68002,1200	-1
68103	TOTEM_MALL_GIFT3	图腾礼包3	goods_box_3	11	68003,5	-1
68104	TOTEM_EXP	薯条广告礼包	goods_68002	11	68002,5	0
68105	TOTEM_EXP	薯条广告礼包	goods_68002	11	68002,10	0
68106	TOTEM_EXP	薯条广告礼包	goods_68002	11	68002,20	0
68107	TOTEM_MALL_GIFT4	图腾礼包4	goods_box_3	11	60001,100#68002,1500#68003,10	-1
68108	TOTEM_MALL_GIFT5	图腾礼包5	goods_box_3	11	60001,200#68002,2000#68003,12	-1
68109	TOTEM_MALL_GIFT6	图腾礼包6	goods_box_3	11	60001,500#60002,10#68002,2500#68003,14	-1
68110	TOTEM_MALL_GIFT7	图腾礼包7	goods_box_3	11	60001,1000#60002,50#68002,3000#68003,16	-1
68111	TOTEM_MALL_GIFT8	图腾礼包8	goods_box_3	11	60001,2000#60002,100#68002,5000#68003,18	-1
