ID	Title	TitleNum	Desc	DescParam	Icon	Condition	Value	ValueExtra	RewardID	IsDisplay	eChannel	Order	AdUnlock
18	CHAL_DYING	0	CHAL_STAT_DESC	VALUE#STAT_HP_REGENERATION	shmoop_icon	23	-5		10016	1	0,1,6,7,8	18	2
19	CHAL_AGRICULTURE	0	CHAL_STAT_DESC	VALUE#STAT_HARVESTING	tractor_icon	11	200		10017	1	0,1,4,5,6,7,8,9	19	2
20	CHAL_HALLUCINATION	0	CHAL_STAT_DESC	VALUE#STAT_DODGE	weird_ghost_icon	12	60		10018	1	0,1,4,5,6,7,8,9	20	2
21	CHAL_FAST	0	CHAL_STAT_DESC		jetpack_icon	27	50	204	10019	1	0,1,4,5,6,7,8,9	21	2
22	CHAL_HOARDER	0	CHAL_HOARDER_DESC	VALUE	material_bag	14	3000		10020	1	0,1,4,5,6,7,8,9	22	2
23	CHAL_TURRETS	0	CHAL_TURRETS_DESC	VALUE	turret_icon	15	5		10021	1	0,1,4,5,6,7,8,9	23	2
24	CHAL_LUMBERJACK	0	CHAL_LUMBERJACK_DESC	VALUE	lumberjack_shirt_icon	16	50		10022	1	0,1,4,5,6,7,8,9	24	2
25	CHAL_MEDICINE	0	CHAL_MEDICINE_DESC	VALUE	acid_icon	17	200		10023	1	0,1,4,5,6,7,8,9	25	2
26	CHAL_PERFECT_VISION	0	CHAL_STAT_DESC	VALUE#STAT_RANGE	glasses_icon	18	300		10024	1	0,1,4,5,6,7,8,9	26	2
27	CHAL_FIREWORKS	0	CHAL_FIREWORKS_DESC	VALUE	dynamite_icon	19	15		10025	1	0,1,4,5,6,7,8,9	27	2
28	CHAL_RECYCLING	0	CHAL_RECYCLING_DESC	VALUE	recycling_machine_icon	20	12		10026	1	0,1,4,5,6,7,8,9	28	2
29	CHAL_SLOW	0	CHAL_STAT_DESC		estys_couch_icon	27	-20	204	10027	1	0,1,4,5,6,7,8,9	29	2
30	CHARACTER_WELL_ROUNDED	0	CHAL_CHARACTER_DESC	CHARACTER_WELL_ROUNDED	well_rounded_icon	22	10000		30107	0	0,1,2,3,4,5,6,7,8,9	40	3
31	CHARACTER_BRAWLER	0	CHAL_CHARACTER_DESC	CHARACTER_BRAWLER	brawler_icon	22	10001		20163	0	0,1,2,3,4,5,6,7,8,9	41	3
32	CHARACTER_CRAZY	0	CHAL_CHARACTER_DESC	CHARACTER_CRAZY	crazy_icon	22	10002		30074	0	0,1,2,3,4,5,6,7,8,9	42	3
33	CHARACTER_RANGER	0	CHAL_CHARACTER_DESC	CHARACTER_RANGER	ranger_icon	22	10003		30097	0	0,1,2,3,4,5,6,7,8,9	43	3
34	CHARACTER_MAGE	0	CHAL_CHARACTER_DESC	CHARACTER_MAGE	mage_icon	22	10004		20243	0	0,1,2,3,4,5,6,7,8,9	44	3
35	CHARACTER_CHUNKY	0	CHAL_CHARACTER_DESC	CHARACTER_CHUNKY	chunky_icon	22	10005		26102	0	0,1,2,3,4,5,6,7,8,9	45	3
36	CHARACTER_OLD	0	CHAL_CHARACTER_DESC	CHARACTER_OLD	old_icon	22	10006		30126	0	0,1,2,3,4,5,6,7,8,9	46	3
37	CHARACTER_LUCKY	0	CHAL_CHARACTER_DESC	CHARACTER_LUCKY	lucky_icon	22	10007		30085	0	0,1,2,3,4,5,6,7,8,9	47	3
38	CHARACTER_MUTANT	0	CHAL_CHARACTER_DESC	CHARACTER_MUTANT	mutant_icon	22	10008		30098	0	0,1,2,3,4,5,6,7,8,9	48	3
39	CHARACTER_GENERALIST	0	CHAL_CHARACTER_DESC	CHARACTER_GENERALIST	generalist_icon	22	10009		30019	0	0,1,2,3,4,5,6,7,8,9	49	3
40	CHARACTER_LOUD	0	CHAL_CHARACTER_DESC	CHARACTER_LOUD	loud_icon	22	10010		30115	0	0,1,2,3,4,5,6,7,8,9	50	3
41	CHARACTER_MULTITASKER	0	CHAL_CHARACTER_DESC	CHARACTER_MULTITASKER	multitasker_icon	22	10011		20011	0	0,1,2,3,4,5,6,7,8,9	51	3
42	CHARACTER_WILDLING	0	CHAL_CHARACTER_DESC	CHARACTER_WILDLING	wildling_icon	22	10012		20101	0	0,1,2,3,4,5,6,7,8,9	52	3
43	CHARACTER_PACIFIST	0	CHAL_CHARACTER_DESC	CHARACTER_PACIFIST	pacifist_icon	22	10013		30100	0	0,1,2,3,4,5,6,7,8,9	53	3
44	CHARACTER_GLADIATOR	0	CHAL_CHARACTER_DESC	CHARACTER_GLADIATOR	gladiator_icon	22	10014		30128	0	0,1,2,3,4,5,6,7,8,9	54	3
45	CHARACTER_SAVER	0	CHAL_CHARACTER_DESC	CHARACTER_SAVER	saver_icon	22	10015		30099	0	0,1,2,3,4,5,6,7,8,9	55	3
46	CHARACTER_SICK	0	CHAL_CHARACTER_DESC	CHARACTER_SICK	sick_icon	22	10016		30154	0	0,1,2,3,4,5,6,7,8,9	56	3
47	CHARACTER_FARMER	0	CHAL_CHARACTER_DESC	CHARACTER_FARMER	farmer_icon	22	10017		30152	0	0,1,2,3,4,5,6,7,8,9	57	3
48	CHARACTER_GHOST	0	CHAL_CHARACTER_DESC	CHARACTER_GHOST	ghost_icon	22	10018		30116	0	0,1,2,3,4,5,6,7,8,9	58	3
49	CHARACTER_SPEEDY	0	CHAL_CHARACTER_DESC	CHARACTER_SPEEDY	speedy_icon	22	10019		30058	0	0,1,2,3,4,5,6,7,8,9	59	3
50	CHARACTER_ENTREPRENEUR	0	CHAL_CHARACTER_DESC	CHARACTER_ENTREPRENEUR	entrepreneur_icon	22	10020		30026	0	0,1,2,3,4,5,6,7,8,9	60	3
51	CHARACTER_ENGINEER	0	CHAL_CHARACTER_DESC	CHARACTER_ENGINEER	engineer_icon	22	10021		30117	0	0,1,2,3,4,5,6,7,8,9	61	3
52	CHARACTER_EXPLORER	0	CHAL_CHARACTER_DESC	CHARACTER_EXPLORER	explorer_icon	22	10022		30041	0	0,1,2,3,4,5,6,7,8,9	62	3
53	CHARACTER_DOCTOR	0	CHAL_CHARACTER_DESC	CHARACTER_DOCTOR	doctor_icon	22	10023		30090	0	0,1,2,3,4,5,6,7,8,9	63	3
54	CHARACTER_HUNTER	0	CHAL_CHARACTER_DESC	CHARACTER_HUNTER	hunter_icon	22	10024		26163	0	0,1,2,3,4,5,6,7,8,9	64	3
55	CHARACTER_ARTIFICER	0	CHAL_CHARACTER_DESC	CHARACTER_ARTIFICER	artificer_icon	22	10025		30055	0	0,1,2,3,4,5,6,7,8,9	65	3
56	CHARACTER_ARMS_DEALER	0	CHAL_CHARACTER_DESC	CHARACTER_ARMS_DEALER	arms_dealer_icon	22	10026		30008	0	0,1,2,3,4,5,6,7,8,9	66	3
57	CHARACTER_STREAMER	0	CHAL_CHARACTER_DESC	CHARACTER_STREAMER	streamer_icon	22	10027		30040	0	0,1,2,3,4,5,6,7,8,9	67	3
58	CHARACTER_ONE_ARM	0	CHAL_CHARACTER_DESC	CHARACTER_ONE_ARM	one_arm_icon	22	10028		30059	0	0,1,2,3,4,5,6,7,8,9	78	3
59	CHARACTER_BULL	0	CHAL_CHARACTER_DESC	CHARACTER_BULL	bull_icon	22	10029		30065	0	0,1,2,3,4,5,6,7,8,9	79	3
60	CHARACTER_SOLDIER	0	CHAL_CHARACTER_DESC	CHARACTER_SOLDIER	soldier_icon	22	10030		26073	0	0,1,2,3,4,5,6,7,8,9	80	3
61	CHARACTER_MASOCHIST	0	CHAL_CHARACTER_DESC	CHARACTER_MASOCHIST	masochist_icon	22	10031		20211	0	0,1,2,3,4,5,6,7,8,9	81	3
62	CHARACTER_KNIGHT	0	CHAL_CHARACTER_DESC	CHARACTER_KNIGHT	knight_icon	22	10032		20153	0	0,1,2,3,4,5,6,7,8,9	82	3
63	CHARACTER_DEMON	0	CHAL_CHARACTER_DESC	CHARACTER_DEMON	demon_icon	22	10033		26083	0	0,1,2,3,4,5,6,7,8,9	83	3
64	CHAL_HUNGRY	0	CHAL_HUNGRY_DESC		cake_icon	24	20		10035	1	0,1,4,5,6,7,8,9	30	4
65	CHAL_ADVANCED_TECHNOLOGY	0	CHAL_ADVANCED_TECHNOLOGY_DESC		exoskeleton_icon	25	3	212,10	10034	1	0,1,4,5,6,7,8,9	31	4
66	CHAL_GIANT_SLAYER	0	CHAL_GIANT_SLAYER_DESC		mammoth_icon	26	15		10036	1	0,1,4,5,6,7,8,9	32	4
67	CHAL_ROBUST	0	CHAL_STAT_DESC		little_muscley_dude_icon	27	100	201	10037	1	0,1,4,5,6,7,8,9	33	4
68	CHARACTER_CYBORG	0	CHAL_CHARACTER_DESC	CHARACTER_CYBORG	cyborg_icon	22	10034		30170	0	0,1,2,3,4,5,6,7,8,9	68	3
69	CHARACTER_GLUTTON	0	CHAL_CHARACTER_DESC	CHARACTER_GLUTTON	glutton_icon	22	10035		30161	0	0,1,2,3,4,5,6,7,8,9	69	3
70	CHARACTER_JACK	0	CHAL_CHARACTER_DESC	CHARACTER_JACK	jack_icon	22	10036		30171	0	0,1,2,3,4,5,6,7,8,9	70	3
71	CHARACTER_LICH	0	CHAL_CHARACTER_DESC	CHARACTER_LICH	lich_icon	22	10037		30162	0	0,1,2,3,4,5,6,7,8,9	71	3
72	CHAL_BAITED	0	CHAL_ITEM_DESC		bait_icon	28	2	30164	10040	1	0,1,4,5,6,7,8,9	34	4
73	CHAL_FOREST	0	CHAL_FOREST_DESC		tree_icon	29	10		10039	1	0,1,4,5,6,7,8,9	35	4
74	CHAL_STUDENT	0	CHAL_STUDENT_DESC		book_icon	30	20		10038	1	0,1,4,5,6,7,8,9	37	4
75	CHAL_RECKLESS	0	CHAL_RECKLESS_DESC		gummy_berserker_icon	31	1		10041	1	0,1,4,5,6,7,8,9	38	4
76	CHARACTER_APPRENTICE	0	CHAL_CHARACTER_DESC	CHARACTER_APPRENTICE	apprentice_icon	22	10038		26271	0	0,1,2,3,4,5,6,7,8,9	72	3
77	CHARACTER_CRYPTID	0	CHAL_CHARACTER_DESC	CHARACTER_CRYPTID	cryptid_icon	22	10039		26251	0	0,1,2,3,4,5,6,7,8,9	73	3
78	CHARACTER_FISHERMAN	0	CHAL_CHARACTER_DESC	CHARACTER_FISHERMAN	fisherman_icon	22	10040		30172	0	0,1,2,3,4,5,6,7,8,9	74	3
79	CHARACTER_GOLEM	0	CHAL_CHARACTER_DESC	CHARACTER_GOLEM	golem_icon	22	10041		30174	0	0,1,2,3,4,5,6,7,8,9	75	3
80	CHAL_BOURGEOISIE	0	CHAL_BOURGEOISIE_DESC		crown_icon	32	3	4	10042	1	0,1,4,5,6,7,8,9	36	4
81	CHAL_SCAVENGER	0	CHAL_SCAVENGER_DESC		metal_detector_icon	33	10	1	10043	1	0,1,4,5,6,7,8,9	39	4
82	CHARACTER_KING	0	CHAL_CHARACTER_DESC	CHARACTER_KING	king_icon	22	10042		26314	0	0,1,2,3,4,5,6,7,8,9	76	3
83	CHARACTER_RENEGADE	0	CHAL_CHARACTER_DESC	CHARACTER_RENEGADE	renegade_icon	22	10043		30175	0	0,1,2,3,4,5,6,7,8,9	77	3
84	CHAL_GATHERER	5	CHAL_GATHERER_DESC	VALUE	alien_tongue_icon	0	20000		10015	1	4,5,9	16	2
85	CHAL_DYING	0	CHAL_STAT_DESC	VALUE#STAT_HP_REGENERATION	shmoop_icon	0	-5		10016	1	4,5,9	18	2
