ID	weapons	RecWeapon	RecAttr	unlock	wantedTags	revive_buffs	vip_revive_buffs	no_item_limits	item_limits	Order
10008	20001,20061,20221,26271,20171,20141,26011,26151,26203,26121,26171,26181,26001	26151,26152,26153,26154	5,0,7	0	xp_gain			0		9
10009	20001,20061,20131,20111,20201,26131,26011,26091,26151,26203,26041,26141	20001,20002,20003,20004	4,0,5	0	stat_melee_damage,stat_ranged_damage			0		10
10010	20001,20061,20071,20131,20031,26251,20201,20251,20171,20101,20141,20261,26207,26271,26199,26011,26091,26151,26203,26121,26171,26181,26131,26141,26001	20061,20062,20063,20064	4,0,7	0	more_enemies			0		11
10011	20001,20041,26251,20111,20201,20221,26271,20131,20191,20261,20061,20141,20011,20101,26207,26199,20211,26011,26091,26151,26203,26041,26181,26141,26171,26131,26001	20221,20222,20223,20224	4,0,7	0				0		12
10012	20221,20201,20251,20171,20001,20101,26271,26141	20221,20222,20223,20224	4,0,7	0				0		13
10013	20091,26171,20211,26199	20091,20092,20093,20094	0,1,12	0	stat_max_hp,stat_hp_regeneration,stat_armor			0		14
10014	20201,26207,20001,20251,20031,20111,20141,20061,20071,20041,26251,26271	20111,20112,20113,20114	4,0,8	0	stat_melee_damage			0		15
10015	20031,20071,20131,20001,20201,26091,26041,26171,26181	20031,20032,20033,20034	4,0,15	0				0		16
10016	20041,20091,20181,20131,26031,26141,26151,26051	20181,20182,20183,20184	4,0,2	0	stat_lifesteal			0		17
10017	20091,20201,20221,20251,20191,26199,20261,26171,26181,26011,26102	20221,20222,20223,20224	4,0,7	0	stat_harvesting			0		18
10018	20071,20061,26031	20061,20062,20063,20064	4,0,12	0	stat_dodge			0		19
10019	20041,26251,20111,20031,20221,20201,26271,26207,20191,20261,26131	26131,26132,26133,26134	4,0,13	0	stat_speed			0		20
10020	20041,20091,20111,26199,20031,20261,26091,26011,26171,26181,26131	20111,20112,20113,20114	4,0,8	0	stat_harvesting,economy			0		21
10021	20261,20191,20141,20082	20261,20262,20263,20264	9,0,12	0	stat_engineering			0		22
10022	20001,20191,20221,20251,20011,20141,20101,26001,26121,26171,26181	20011,20012,20013,20014	13,0,15	0	stat_speed,exploration,pickup			0		23
10023	20181,26051	20181,20182,20183,20184	4,0,1	0	stat_hp_regeneration			0		24
10024	20001,20031,20201,26251,26131,26001	26001,26002,26003,26004	5,0,10	0	stat_range,stat_crit_chance			0		25
10025	20141,20191,20261,26121	26121,26122,26123,26124	3,0,7	0	explosive			0		26
10026	26091	26091,26092,26093,26094	3,0,7	0				0		27
10027	20171,20041,26251,20221,26271,20001,20071,20061,20111,20131,20181,20191,20261,20201,20141,26199,26207,20211,26001,26011,26041,26051,26091,26121,26151,26203,26171,26181,26141	20261,20262,20263,20264	9,0,12	0				0		28
10028	20041,26251,20031,20061,20071,20131,20181,20001,20251,20141,20191,20101,20011,26199,26207,26011,26041,26091,26121,26151,26171,26203,26181,26131,26141,26001	20061,20062,20063,20064	3,0,7	0	stat_percent_damage			0		39
10029			4,0,1	0	stat_max_hp,stat_hp_regeneration,explosive			0		40
10030	20111,26001,26011,26041,26091,26121,26203,26151,26171,26181	26151,26152,26153,26154	5,0,12	0	stand_still			0		41
10031	20171,20181,20001,20061,20211,26011,26031,26051,26181	20211,20212,20213,20214	11,0,1	0	stat_max_hp,stat_armor,stat_hp_regeneration,stat_lifesteal			0		42
10032	20232,20082,20202,20252,26208,20212	20212,20213,20214	11,0,3	0	stat_armor			0		43
10033	20031,20131,20061,20071,20251,20011,26031,26181,26171	26031,26032,26033,26034	0,5,7	0				0		44
10034	20261,20191,20141,26091,26151,26203,26011,26001	20261,20262,20263,20264	5,0,11	0	stat_engineerin,stat_ranged_damage			0		29
10035	26199,20011,20031,20041,20101,26207,20191,20141,26121	26199,26200,26201,26202	4,0,7	0	stat_luck,explosive,stat_melee_damage			0		30
10036	20111,26207,20261,20251,20101,20221,20201,26041,26091,26203,26001,26131,26171,26181	26203,26204,26205,26206	5,0,7	0				0		31
10037	20181,20011,20031,20221,20111,20071,26199,20101,26031,26051,26151,26181,26141,26001	20181,20182,20183,20184	1,2,0	0	stat_max_hp,stat_hp_regeneration,stat_lifesteal			0		32
10038	20041,20111,20131,20001,26271,20071,20061,20101,20251,20141,26199,20191,20261,26091,26151,26011,26121,26141,26171,26131,26031	26031,26032,26033,26034	3,0,7	0	xp_gain			0		33
10039	20041,20091,26251,20111,20001,26199,20011,20061,20031,20131,20071,20171,20221,20101,26207,20191,20141,26031,26121,26091,26151	20041,20042,20043,20044	4,12,0	0	exploration,stat_dodge			0		34
10040	20111,20171,20201,26271,20191,20211,20251,20221,26091,26151,26001,26011,26041,26203,26121,26141	20221,20222,20223,20224	4,7,0	0				0		35
10041	20001,20011,20041,20061,20101,20111,20141,20171,20211,20221,20251,26091,26203,26141	20221,20222,20223,20224	0,7,11	0	stat_max_hp,stat_armor			0		36
10042	20042,20022,20112,20102,20062,20132,20252,20142,20202,20232,20082,20212,26092,26152,26002,26012,26172	26152	0,7,15	0				0		37
10043	26091,26203,26121,26151,26041,26051,26011,26171,26181,26031,26001	26151,26152,26153,26154	5,0,7	0				0		38
