ID	unlock	type	dType	atkSpeed	value	hasGameplayMod	cd	damage	accuracy	critChance	critDamage	minRange	maxRange	knockback	effectScale	lifeSteal	isHealing	recoil	recoilDuration	nbProject	projectSpread	piercing	piercingDmg	bounce	bounceDmg	projectSpeed	increaseProjectSpeed	dealDmgReturn	attackType	per_melee	per_ranged_dmg	per_elemental	per_engineering	per_maxhp	per_armor	per_range	per_speed	per_attackspeed	per_lv	explosion_size	structure	capacity	fillingCd	fillingIcon
20052	0	5,4	1	1	46	0	10	16	1	0.01	1.5	0	150	15	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20053	0	5,4	1	1	86	0	8	32	1	0.01	1.5	0	150	15	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20054	0	5,4	1	1	173	0	2	64	1	0.01	1.5	0	150	15	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20061	0	14	1	1	20	0	67	12	1	0.03	2	0	200	2	1	0	0	25	0.1	0		0		0		0		0	2	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20062	0	14	1	1	39	0	63	18	1	0.03	2	0	200	2	1	0	0	25	0.1	0		0		0		0		0	2	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20063	0	14	1	1	74	0	58	24	1	0.03	2	0	200	2	1	0	0	25	0.1	0		0		0		0		0	2	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20064	0	14	1	1	149	0	54	40	1	0.03	2	0	200	2	1	0	0	25	0.1	0		0		0		0		0	2	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20071	0	14	1	1	12	0	40	6	1	0.03	2	0	150	2	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20072	0	14	1	1	26	0	36	9	1	0.03	2	0	160	2	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20073	0	14	1	1	52	0	31	12	1	0.03	2	0	170	2	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20074	0	14	1	1	105	0	27	18	1	0.03	2	0	180	2	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20082	0	7,3	1	1	51	0	65	30	1	0.03	1.75	0	175	25	1	0	0	25	0.1	0		0		0		0		0	2	150	0	0	0	0	0	0	0	0	0		0	-1	0	
20083	0	7,3	1	1	95	0	60	60	1	0.03	1.75	0	175	30	1	0	0	25	0.1	0		0		0		0		0	2	175	0	0	0	0	0	0	0	0	0		0	-1	0	
20084	0	7,3	1	1	190	0	55	100	1	0.03	1.75	0	175	40	1	0	0	25	0.1	0		0		0		0		0	2	200	0	0	0	0	0	0	0	0	0		0	-1	0	
20091	0	5,8	1	1	10	0	27	1	1	0.01	1.5	0	150	30	1	0	0	25	0.1	0		0		0		0		0	1	50	0	0	0	0	0	0	0	0	0		0	-1	0	
20092	0	5,8	1	1	22	0	22	1	1	0.01	1.5	0	150	30	1	0	0	25	0.1	0		0		0		0		0	1	50	0	0	0	0	0	0	0	0	0		0	-1	0	
20093	0	5,8	1	1	45	0	18	1	1	0.01	1.5	0	150	30	1	0	0	25	0.1	0		0		0		0		0	1	50	0	0	0	0	0	0	0	0	0		0	-1	0	
20094	0	5,8	1	1	91	0	9	1	1	0.01	1.5	0	150	30	1	0	0	25	0.1	0		0		0		0		0	1	50	0	0	0	0	0	0	0	0	0		0	-1	0	
20101	1	2	1	1	15	0	9	5	1	0.03	2	0	125	2	1	0	0	25	0.1	0		0		0		0		0	2	100	0	0	0	0	0	0	0	15	0		0	-1	0	
20102	1	2	1	1	31	0	7	10	1	0.03	2	0	125	2	1	0	0	25	0.1	0		0		0		0		0	2	100	0	0	0	0	0	0	0	15	0		0	-1	0	
20103	1	2	1	1	61	0	5	20	1	0.03	2	0	125	2	1	0	0	25	0.1	0		0		0		0		0	2	100	0	0	0	0	0	0	0	15	0		0	-1	0	
20104	1	2	1	1	122	0	3	40	1	0.03	2	0	125	2	1	0	0	25	0.1	0		0		0		0		0	2	100	0	0	0	0	0	0	0	15	0		0	-1	0	
20111	0	6	1	1	15	0	27	6	1	0.2	2.5	0	150	2	1	0	0	25	0.1	0		0		0		0		0	1	80	0	0	0	0	0	0	0	0	0		0	-1	0	
20112	0	6	1	1	31	0	22	9	1	0.3	3	0	150	2	1	0	0	25	0.1	0		0		0		0		0	1	80	0	0	0	0	0	0	0	0	0		0	-1	0	
20113	0	6	1	1	61	0	18	12	1	0.4	3.5	0	150	2	1	0	0	25	0.1	0		0		0		0		0	1	80	0	0	0	0	0	0	0	0	0		0	-1	0	
20114	0	6	1	1	122	0	13	20	1	0.5	4	0	150	2	1	0	0	25	0.1	0		0		0		0		0	1	80	0	0	0	0	0	0	0	0	0		0	-1	0	
20121	0	5	1	1	40	0	20	10	1	0.01	2	0	150	15	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20131	0	6,4	1	1	15	0	27	3	1	0.05	2	0	150	0	1	0	0	25	0.1	0		0		0		0		0	1	80	0	0	0	0	0	0	0	0	0		0	-1	0	
20132	0	6,4	1	1	31	0	22	6	1	0.1	2	0	150	0	1	0	0	25	0.1	0		0		0		0		0	1	80	0	0	0	0	0	0	0	0	0		0	-1	0	
20133	0	6,4	1	1	61	0	18	9	1	0.15	2	0	150	0	1	0	0	25	0.1	0		0		0		0		0	1	80	0	0	0	0	0	0	0	0	0		0	-1	0	
20134	0	6,4	1	1	122	0	13	15	1	0.15	2	0	150	0	1	0	0	25	0.1	0		0		0		0		0	1	80	0	0	0	0	0	0	0	0	0		0	-1	0	
20141	0	11,4	1	1	15	0	40	10	1	0.03	2	0	150	5	1	0	0	25	0.1	0		0		0		0		0	2	50	0	50	50	0	0	0	0	0	0	0.75	0	-1	0	
20142	0	11,4	1	1	31	0	35	15	1	0.03	2	0	150	5	1	0	0	25	0.1	0		0		0		0		0	2	55	0	55	55	0	0	0	0	0	0	0.75	0	-1	0	
20143	0	11,4	1	1	61	0	30	20	1	0.03	2	0	150	5	1	0	0	25	0.1	0		0		0		0		0	2	60	0	60	60	0	0	0	0	0	0	0.75	0	-1	0	
20144	0	11,4	1	1	122	0	25	25	1	0.03	2	0	150	5	1	0	0	25	0.1	0		0		0		0		0	2	65	0	65	65	0	0	0	0	0	0	0.75	0	-1	0	
20153	1	4,11	1	1	136	0	58	80	1	0.03	1.75	0	175	30	1	0	0	25	0.1	0		0		0		0		0	2	150	0	150	0	0	0	0	0	0	0	1	0	-1	0	
20154	1	4,11	1	1	272	0	54	120	1	0.03	1.75	0	175	30	1	0	0	25	0.1	0		0		0		0		0	2	200	0	200	0	0	0	0	0	0	0	1.25	0	-1	0	
20163	1	5,11	1	1	110	0	8	40	1	0.01	1.5	0	150	15	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0	0.75	0	-1	0	
20164	1	5,11	1	1	221	0	2	60	1	0.01	1.5	0	150	15	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0	1	0	-1	0	
20171	0	2,7	1	1	10	0	67	20	1	0.1	1.5	0	150	5	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20172	0	2,7	1	1	22	0	63	30	1	0.15	1.5	0	150	5	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20173	0	2,7	1	1	45	0	58	40	1	0.2	1.5	0	150	5	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20174	0	2,7	1	1	91	0	54	60	1	0.25	1.5	0	150	5	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20181	0	9,6	1	1	15	0	27	5	1	0.1	2	0	150	2	1	0.4	0	25	0.1	0		0		0		0		0	1	80	0	0	0	0	0	0	0	0	0		0	-1	0	
20182	0	9,6	1	1	31	0	25	10	1	0.12	2	0	150	2	1	0.45	0	25	0.1	0		0		0		0		0	1	80	0	0	0	0	0	0	0	0	0		0	-1	0	
20183	0	9,6	1	1	61	0	23	15	1	0.15	2	0	150	2	1	0.5	0	25	0.1	0		0		0		0		0	1	80	0	0	0	0	0	0	0	0	0		0	-1	0	
20184	0	9,6	1	1	122	0	18	20	1	0.2	2	0	150	2	1	0.6	0	25	0.1	0		0		0		0		0	1	80	0	0	0	0	0	0	0	0	0		0	-1	0	
20191	0	10	1	1	10	0	31	8	1	0.1	2	0	125	3	1	0	0	25	0.1	0		0		0		0		0	1	50	0	0	50	0	0	0	0	0	0	1	1	-1	0	
20192	0	10	1	1	22	0	28	12	1	0.15	2	0	125	3	1	0	0	25	0.1	0		0		0		0		0	1	50	0	0	50	0	0	0	0	0	0	1	1	-1	0	
20193	0	10	1	1	45	0	26	16	1	0.2	2	0	125	3	1	0	0	25	0.1	0		0		0		0		0	1	50	0	0	50	0	0	0	0	0	0	1	1	-1	0	
20194	0	10	1	1	91	0	20	20	1	0.3	2	0	125	3	1	0	0	25	0.1	0		0		0		0		0	1	50	0	0	50	0	0	0	0	0	0	1	1	-1	0	
20201	0	2	1	1	20	0	45	15	1	0.03	2	0	350	0	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20202	0	2	1	1	39	0	36	25	1	0.03	2	0	375	0	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20203	0	2	1	1	74	0	27	40	1	0.03	2	0	400	0	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20204	0	2	1	1	149	0	18	60	1	0.03	2	0	500	0	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20211	1	13,7	1	1	15	0	36	10	1	0.03	2	0	150	20	1	0	0	25	0.1	0		0		0		0		0	1	0	0	0	0	0	100	0	0	0	0		0	-1	0	
20212	1	13,7	1	1	31	0	36	15	1	0.03	2	0	150	20	1	0	0	25	0.1	0		0		0		0		0	1	0	0	0	0	0	125	0	0	0	0		0	-1	0	
20213	1	13,7	1	1	61	0	36	20	1	0.03	2	0	150	20	1	0	0	25	0.1	0		0		0		0		0	1	0	0	0	0	0	150	0	0	0	0		0	-1	0	
20214	1	13,7	1	1	122	0	27	30	1	0.03	2	0	150	20	1	0	0	25	0.1	0		0		0		0		0	1	0	0	0	0	0	200	0	0	0	0		0	-1	0	
20221	0	2	1	1	10	0	40	8	1	0.03	2	0	175	0	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20222	0	2	1	1	22	0	36	8	1	0.03	2	0	175	0	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20223	0	2	1	1	45	0	31	12	1	0.03	2	0	175	0	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20224	0	2	1	1	91	0	27	20	1	0.03	2	0	175	0	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20232	0	12,13	1	1	51	0	40	25	1	0.03	2	0	200	5	1	0	0	25	0.1	0		0		0		0		0	3	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20233	0	12,13	1	1	95	0	31	40	1	0.03	2	0	200	5	1	0	0	25	0.1	0		0		0		0		0	3	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20234	0	12,13	1	1	190	0	22	60	1	0.03	2	0	200	5	1	0	0	25	0.1	0		0		0		0		0	3	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20243	1	12,4	1	1	119	0	36	30	1	0.03	2	0	200	5	1	0	0	25	0.1	0		0		0		0		0	2	125	0	125	0	0	0	0	0	0	0		0	-1	0	
20244	1	12,4	1	1	238	0	27	60	1	0.03	2	0	200	5	1	0	0	25	0.1	0		0		0		0		0	2	150	0	150	0	0	0	0	0	0	0		0	-1	0	
20251	0	2,4	1	1	12	0	31	1	1	0	1.5	0	175	20	1	0	0	25	0.1	0		0		0		0		0	2	50	0	50	0	0	0	0	0	0	0		0	-1	0	
20252	0	2,4	1	1	26	0	27	1	1	0	1.5	0	175	20	1	0	0	25	0.1	0		0		0		0		0	2	50	0	50	0	0	0	0	0	0	0		0	-1	0	
20253	0	2,4	1	1	52	0	22	1	1	0	1.5	0	175	20	1	0	0	25	0.1	0		0		0		0		0	2	50	0	50	0	0	0	0	0	0	0		0	-1	0	
20254	0	2,4	1	1	105	0	13	1	1	0	1.5	0	175	20	1	0	0	25	0.1	0		0		0		0		0	2	50	0	50	0	0	0	0	0	0	0		0	-1	0	
20261	0	10	1	1	20	0	67	12	1	0.03	2	0	175	20	1	0	0	25	0.1	0		0		0		0		0	2	100	0	0	0	0	0	0	0	0	0		1	-1	0	
20262	0	10	1	1	39	0	63	16	1	0.03	2	0	175	20	1	0	0	25	0.1	0		0		0		0		0	2	100	0	0	0	0	0	0	0	0	0		1	-1	0	
20263	0	10	1	1	74	0	58	20	1	0.03	2	0	175	20	1	0	0	25	0.1	0		0		0		0		0	2	100	0	0	0	0	0	0	0	0	0		1	-1	0	
20264	0	10	1	1	149	0	54	24	1	0.03	2	0	175	20	1	0	0	25	0.1	0		0		0		0		0	2	100	0	0	0	0	0	0	0	0	0	1	1	-1	0	
26001	0	6,13	2	1	18	0	50	8	1	0.3	1.5	0	350	8	1	0	0	30	0.15	1	0	0	0	0	0.5	3000	0		0	0	50	0	0	0	0	10	0	0	0		0	-1	0	
26002	0	6,13	2	1	36	0	50	10	1	0.35	1.75	0	350	8	1	0	0	30	0.15	1	0	0	0	0	0.5	3000	0		0	0	50	0	0	0	0	10	0	0	0		0	-1	0	
26003	0	6,13	2	1	66	0	50	12	1	0.4	2	0	350	8	1	0	0	30	0.15	1	0	0	0	0	0.5	3000	0		0	0	50	0	0	0	0	10	0	0	0		0	-1	0	
26004	0	6,13	2	1	140	0	50	15	1	0.45	2.25	0	350	8	1	0	0	30	0.15	1	0	0	0	0	0.5	3000	0		0	0	50	0	0	0	0	10	0	0	0		0	-1	0	
26011	0	1	2	1	20	0	70	3	1	0.03	2	0	350	8	1	0	0	25	0.1	4	0.5	2	0.3	0	0.5	3000	0		0	0	80	0	0	0	0	0	0	0	0		0	-1	0	
26012	0	1	2	1	39	0	65	6	1	0.03	2	0	350	8	1	0	0	25	0.1	4	0.5	2	0.3	0	0.5	3000	0		0	0	85	0	0	0	0	0	0	0	0		0	-1	0	
26013	0	1	2	1	74	0	60	9	1	0.03	2	0	350	8	1	0	0	25	0.1	4	0.5	2	0.3	0	0.5	3000	0		0	0	90	0	0	0	0	0	0	0	0		0	-1	0	
26014	0	1	2	1	149	0	60	9	1	0.03	2	0	350	8	1	0	0	25	0.1	6	0.5	3	0.3	0	0.5	3000	0		0	0	100	0	0	0	0	0	0	0	0		0	-1	0	
26022	0	4,3	2	1	56	0	5	1	0.6	0	2	0	300	0	0.1	0	0	5	0.02	1	0	99	1	0	0.5	1000	1		0	0	0	1	0	0	0	0	0	0	0		0	-1	0	
26023	0	4,3	2	1	103	0	5	1	0.6	0	2	0	350	0	0.1	0	0	5	0.02	1	0	99	1	0	0.5	1000	1		0	0	0	1	0	0	0	0	0	0	0		0	-1	0	
26024	0	4,3	2	1	207	0	3	1	0.6	0	2	0	400	0	0.1	0	0	5	0.02	1	0	99	1	0	0.5	1000	1		0	0	0	1	0	0	0	0	0	0	0		0	-1	0	
26031	0	14	2	1	15	0	47	10	1	0.03	2	0	300	2	1	0	0	25	0.1	1	0	0	0.5	0	0.5	3000	0		0	0	100	0	0	0	0	0	0	0	0		0	-1	0	
26032	0	14	2	1	31	0	44	15	1	0.03	2	0	350	2	1	0	0	25	0.1	1	0	0	0.5	0	0.5	3000	0		0	0	100	0	0	0	0	0	0	0	0		0	-1	0	
26033	0	14	2	1	61	0	41	20	1	0.03	2	0	400	2	1	0	0	25	0.1	1	0	0	0.5	0	0.5	3000	0		0	0	100	0	0	0	0	0	0	0	0		0	-1	0	
26034	0	14	2	1	122	0	38	30	1	0.03	2	0	450	2	1	0	0	25	0.1	1	0	0	0.5	0	0.5	3000	0		0	0	100	0	0	0	0	0	0	0	0		0	-1	0	
26041	0	1	2	1	15	0	105	40	1	0.03	2	0	500	0	1	0	0	40	0.2	1	0	1	0.25	0	0.5	3000	0		0	0	400	0	0	0	0	0	0	0	0		0	-1	0	
26042	0	1	2	1	31	0	100	55	1	0.03	2	0	500	0	1	0	0	40	0.2	1	0	1	0.25	0	0.5	3000	0		0	0	450	0	0	0	0	0	0	0	0		0	-1	0	
26043	0	1	2	1	61	0	95	70	1	0.03	2	0	500	0	1	0	0	40	0.2	1	0	1	0.25	0	0.5	3000	0		0	0	500	0	0	0	0	0	0	0	0		0	-1	0	
26044	0	1	2	1	122	0	85	100	1	0.03	2	0	500	0	1	0	0	40	0.2	1	0	1	0.25	0	0.5	3000	0		0	0	600	0	0	0	0	0	0	0	0		0	-1	0	
26051	0	9,1	2	1	15	0	45	10	0.9	0.03	2	0	400	0	1	0.4	0	25	0.1	1	0	0	0.5	0	0.5	2000	0		0	0	100	0	0	0	0	0	0	0	0		0	-1	0	
26052	0	9,1	2	1	31	0	40	15	0.9	0.03	2	0	400	0	1	0.45	0	25	0.1	1	0	0	0.5	0	0.5	2000	0		0	0	100	0	0	0	0	0	0	0	0		0	-1	0	
26053	0	9,1	2	1	61	0	35	20	0.9	0.03	2	0	400	0	1	0.5	0	25	0.1	1	0	0	0.5	0	0.5	2000	0		0	0	100	0	0	0	0	0	0	0	0		0	-1	0	
26054	0	9,1	2	1	122	0	25	30	1	0.03	2	0	400	0	1	0.6	0	25	0.1	1	0	0	0.5	0	0.5	2000	0		0	0	100	0	0	0	0	0	0	0	0		0	-1	0	
26063	0	3,1	2	1	127	0	3	1	0.85	0.01	1.75	0	400	3	0.1	0	0	10	0.02	1	0	1	0.5	0	0.5	3000	0		0	0	50	0	0	0	0	0	0	0	0		0	-1	0	
26064	0	3,1	2	1	255	0	1	3	1	0.03	2	0	450	3	0.1	0	0	3	0.02	1	0	2	0.5	0	0.5	3000	0		0	0	75	0	0	0	0	0	0	0	0		0	-1	0	
26073	1	3,11	2	1	144	0	110	60	1	0.03	2	0	800	15	1	0	0	25	0.142	1	0	0	0.5	0	0.5	3000	0		0	0	100	100	0	0	0	0	0	0	0	2	0	-1	0	
26074	1	3,11	2	1	289	0	110	120	1	0.03	2	0	800	15	1	0	0	25	0.142	1	0	0	0.5	0	0.5	3000	0		0	0	100	100	0	0	0	0	0	0	0	2.25	0	-1	0	
26083	1	1,3	2	1	127	0	170	250	1	0.03	2	0	800	0	1	0	0	40	0.2	1	0	99	0	0	0.5	1500	0		0	0	1000	0	0	0	0	0	0	0	0		0	-1	0	
26084	1	1,3	2	1	255	0	170	350	1	0.03	2	0	1000	0	1	0	0	40	0.2	1	0	99	0	0	0.5	1500	0		0	0	1500	0	0	0	0	0	0	0	0		0	-1	0	
26091	0	1	2	1	10	0	60	12	0.9	0.03	2	0	400	15	1	0	0	25	0.1	1	0	1	0.5	0	0.5	3000	0		0	0	100	0	0	0	0	0	0	0	0		0	-1	0	
26092	0	1	2	1	22	0	55	20	0.9	0.03	2	0	400	15	1	0	0	25	0.1	1	0	1	0.5	0	0.5	3000	0		0	0	100	0	0	0	0	0	0	0	0		0	-1	0	
26093	0	1	2	1	45	0	50	30	0.9	0.03	2	0	400	15	1	0	0	25	0.1	1	0	1	0.5	0	0.5	3000	0		0	0	100	0	0	0	0	0	0	0	0		0	-1	0	
26094	0	1	2	1	91	0	40	50	1	0.03	2	0	400	15	1	0	0	25	0.1	1	0	1	0.5	0	0.5	3000	0		0	0	100	0	0	0	0	0	0	0	0		0	-1	0	
26102	1	8	2	1	36	0	15	1	0.9	0.03	1.5	0	500	20	1	0	0	25	0.1	1	0	0	0.5	0	0.5	2000	0		0	0	25	0	0	20	0	0	0	0	0		0	-1	0	
26103	1	8	2	1	69	0	10	1	0.9	0.03	1.5	0	500	25	1	0	0	15	0.1	1	0	0	0.5	0	0.5	2000	0		0	0	25	0	0	20	0	0	0	0	0		0	-1	0	
26104	1	8	2	1	139	0	3	1	0.9	0.03	1.5	0	500	30	1	0	0	10	0.1	1	0	0	0.5	0	0.5	2000	0		0	0	25	0	0	20	0	0	0	0	0		0	-1	0	
26112	0	3,11	2	1	56	0	90	30	0.8	0.03	2	0	500	15	1	0	0	25	0.142	1	0	0	0.5	0	0.5	2000	0		0	0	100	0	0	0	0	0	0	0	0	1	0	-1	0	
26113	0	3,11	2	1	103	0	65	50	0.9	0.03	2	0	550	15	1	0	0	25	0.142	1	0	0	0.5	0	0.5	2000	0		0	0	100	0	0	0	0	0	0	0	0	1	0	-1	0	
26114	0	3,11	2	1	207	0	45	80	1	0.03	2	0	600	15	1	0	0	25	0.142	1	0	0	0.5	0	0.5	2000	0		0	0	100	0	0	0	0	0	0	0	0	1	0	-1	0	
26121	0	1,11	2	1	15	0	60	5	1	0.03	2	0	450	0	0.5	0	0	40	0.15	1	0	3	0	0	0.5	2500	0		0	0	50	0	0	0	0	0	0	0	0	0.75	0	-1	0	
26122	0	1,11	2	1	31	0	55	10	1	0.03	2	0	450	0	0.5	0	0	40	0.15	1	0	3	0	0	0.5	3000	0		0	0	50	0	0	0	0	0	0	0	0	0.8	0	-1	0	
26123	0	1,11	2	1	61	0	50	15	1	0.03	2	0	450	0	0.5	0	0	40	0.15	1	0	3	0	0	0.5	3000	0		0	0	50	0	0	0	0	0	0	0	0	0.85	0	-1	0	
26124	0	1,11	2	1	122	0	45	25	1	0.03	2	0	450	0	0.5	0	0	40	0.15	1	0	3	0	0	0.5	3000	0		0	0	50	0	0	0	0	0	0	0	0	1	0	-1	0	
26131	0	6	2	1	12	0	40	6	1	0.35	1.5	0	350	0	1	0	0	25	0.1	1	0	0	0.5	0	0	1500	0		0	25	0	0	0	0	0	0	0	0	0		0	-1	0	
26132	0	6	2	1	26	0	38	8	1	0.38	1.5	0	350	0	1	0	0	25	0.1	1	0	0	0.5	0	0	1500	0		0	34	0	0	0	0	0	0	0	0	0		0	-1	0	
26133	0	6	2	1	52	0	36	10	1	0.41	1.5	0	350	0	1	0	0	25	0.1	1	0	0	0.5	0	0	1500	0		0	42	0	0	0	0	0	0	0	0	0		0	-1	0	
26134	0	6	2	1	105	0	30	15	1	0.45	1.5	0	350	0	1	0	0	25	0.1	1	0	0	0.5	0	0	1500	0		0	50	0	0	0	0	0	0	0	0	0		0	-1	0	
26141	0	2	2	1	15	0	55	10	1	0.03	2	0	300	5	1	0	0	40	0.15	1	0	0	0.5	1	0	2000	0		0	0	80	0	0	0	0	0	0	0	0		0	-1	0	
26142	0	2	2	1	31	0	52	13	1	0.03	2	0	300	5	1	0	0	40	0.15	1	0	0	0.5	2	0	2000	0		0	0	80	0	0	0	0	0	0	0	0		0	-1	0	
26143	0	2	2	1	61	0	50	16	1	0.03	2	0	300	5	1	0	0	40	0.15	1	0	0	0.5	3	0	2000	0		0	0	80	0	0	0	0	0	0	0	0		0	-1	0	
26144	0	2	2	1	122	0	48	20	1	0.03	2	0	300	5	1	0	0	40	0.15	1	0	0	0.5	4	0	2000	0		0	0	80	0	0	0	0	0	0	0	0		0	-1	0	
26151	0	1	2	1	20	0	4	3	0.7	0.01	1.5	0	400	0	0.2	0	0	10	0.05	1	0	0	0.5	0	0.5	3000	0		0	0	50	0	0	0	0	0	0	0	0		0	-1	0	
