ID	hp	hpWaveAdd	speed	speedRandom	demage	demageWaveAdd	armor	armorWaveAdd	attackCoooldown	Value	Knockback	goldSpread	canDropConsumables	dropAlways	baseDropChance	itemDropChance	minTier	maxTier	showHp	type	avatarScale	avatarOffset
40023	5	3	0	0	1	0.25	0	0	30	1	1	0	0	0	0	0	1	1		0	0.7	0, 0.5
40024	50	25	275	25	1	1.15	0	0	30	3	1	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40025	100	20	175	0	1	1	0	0	30	1	0.7	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40026	10	5	0	0	0	1	0	0	999	3	1	75	1	0	1	0.2	1	1		2	0.7	0, 0.5
40027	2000	1	300	0	1	0	0	0	30	1	1	0	1	1	1	1	1	1	1	1	0.7	0, 0.5
40028	30	15	350	0	1	0.75	0	0	30	1	1	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40029	1600	80	300	0	1	1.5	0	0	30	1	1	0	1	1	1	1	1	1	1	1	0.7	0, 0.5
40030	1600	80	200	0	1	1.5	0	0	30	1	1	0	1	1	1	1	1	1	1	1	0.7	0, 0.5
40031	3600	100	300	0	1	1.5	0	0	30	1	1	0	1	1	1	1	1	1	1	1	0.7	0, 0.5
40032	3600	100	200	0	1	1.5	0	0	30	1	1	0	1	1	1	1	1	1	1	1	0.7	0, 0.5
40033	5600	100	300	0	1	1.5	0	0	30	1	1	0	1	1	1	1	1	1	1	1	0.7	0, 0.5
40034	5600	100	200	0	1	1.5	0	0	30	1	1	0	1	1	1	1	1	1	1	1	0.7	0, 0.5
40035	10000	100	300	0	1	1.5	0	0	30	1	1	0	1	1	1	1	1	1	1	1	0.7	0, 0.5
40036	10000	100	200	0	1	1.5	0	0	30	1	1	0	1	1	1	1	1	1	1	1	0.7	0, 0.5
40037	16000	100	300	0	1	1.5	0	0	30	1	1	0	1	1	1	1	1	1	1	1	0.7	0, 0.5
40038	16000	100	200	0	1	1.5	0	0	30	1	1	0	1	1	1	1	1	1	1	1	0.7	0, 0.5
40039	1	750	350	0	1	1.5	0	0	30	10	1	0	1	1	1	1	1	1	1	1	0.7	0, 0.5
40040	1	750	300	0	1	1.5	0	0	30	10	1	0	1	1	1	1	1	1	1	1	0.7	0, 0.5
40041	1	750	250	0	1	1.5	0	0	30	10	1	0	1	1	1	1	1	1	1	1	0.7	0, 0.5
40042	1	750	250	0	1	1.5	0	0	30	10	1	0	1	1	1	1	1	1	1	1	0.7	0, 0.5
40043	1	750	350	0	1	1.5	0	0	30	10	1	0	1	1	1	1	1	1	1	1	0.7	0, 0.5
40101	3	2	250	50	1	0.6	0	0	30	1	0	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40102	1	1	380	0	1	0.6	0	0	30	1	0	0	1	0	0.02	0.03	1	1		0	0.7	0, 0.5
40103	8	1	200	0	1	0.6	0	0	30	1	1	0	1	0	0.03	0.1	1	1		0	0.7	0, 0.5
40104	4	2.5	400	0	1	0.85	0	0	30	1	1	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40105	10	24	150	0	1	1.2	0	0	30	3	0	0	1	0	0.03	0.03	1	1		0	0.7	0, 0.5
40106	20	11	300	0	2	0.85	0	0	30	3	1	0	1	0	0.03	0.03	1	1		0	0.7	0, 0.8
40107	20	3	150	0	1	0.3	0	0	30	2	1	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40108	15	4	350	25	1	0.85	0	0	30	1	0	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.8
40109	15	13	0	0	1	1.1	0	0	30	0	1	0	0	0	0	0	1	1		0	0.7	0, 0.5
40110	14000	100	300	0	1	1.5	0	0	30	1	1	0	1	1	1	1	1	1	1	1	1.4	0, 0.5
40111	14000	100	200	0	1	1.5	0	0	30	1	1	0	1	1	1	1	1	1	1	1	0.7	0, 0.8
40112	10	8	400	0	1	0.85	0	0	30	2	0	0	1	0	0.03	0.03	1	1		0	0.7	0, 0.5
40113	50	25	350	50	1	0.85	0	0	30	8	0	0	1	1	1	1	1	1		0	0.7	0, 0.5
40114	8	3	250	25	1	1	0	0	30	1	0.5	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40115	12	2	400	0	1	1	0	0	30	1	0	0	1	0	0.02	0.03	1	1		0	0.7	0, 0.5
40116	10	1	120	0	1	0.85	0	0	30	1	0.7	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.8
40117	20	5	350	0	1	1	0	0	30	1	0	0	0	0	0.01	0.01	1	1		0	0.7	0, 0.5
40118	30	22	300	0	1	1.15	0	0	30	3	1	0	1	0	0.03	0.03	1	1		0	0.7	0, 0.8
40119	12	5	425	0	1	1.1	0	0	30	1	1	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40120	1	600	250	0	1	1.5	0	0	30	10	1	0	1	1	1	1	1	1	1	1	1	0, 0.5
40121	1	600	200	0	1	1.5	0	0	30	10	1	0	1	1	1	1	1	1	1	1	1	0, 0.5
40122	1	550	350	0	1	1.5	0	0	30	10	1	0	1	1	1	1	1	1	1	1	1	0, 0.5
40123	5	3	0	0	1	0.25	0	0	30	1	1	0	0	0	0	0	1	1		0	0.7	0, 0.5
40124	50	25	275	25	1	1.15	0	0	30	3	1	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40125	100	20	175	0	1	1	0	0	30	1	0.7	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40201	3	2	250	50	1	0.6	0	0	30	1	0	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40202	1	1	380	0	1	0.6	0	0	30	1	0	0	1	0	0.02	0.03	1	1		0	0.7	0, 0.5
40203	8	1	200	0	1	0.6	0	0	30	1	1	0	1	0	0.03	0.1	1	1		0	0.7	0, 0.5
40204	4	2.5	400	0	1	0.85	0	0	30	1	1	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40205	10	24	150	0	1	1.2	0	0	30	3	0	0	1	0	0.03	0.03	1	1		0	0.7	0, 0.5
40206	20	11	300	0	2	0.85	0	0	30	3	1	0	1	0	0.03	0.03	1	1		0	0.7	0, 0.8
40207	20	3	150	0	1	0.3	0	0	30	2	1	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40208	15	4	350	25	1	0.85	0	0	30	1	0	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.8
40209	15	13	0	0	1	1.1	0	0	30	0	1	0	0	0	0	0	1	1		0	0.7	0, 0.5
40210	14000	100	300	0	1	1.5	0	0	30	1	1	0	1	1	1	1	1	1	1	1	1.4	0, 0.5
40211	14000	100	200	0	1	1.5	0	0	30	1	1	0	1	1	1	1	1	1	1	1	0.7	0, 0.8
40212	10	8	400	0	1	0.85	0	0	30	2	0	0	1	0	0.03	0.03	1	1		0	0.7	0, 0.5
40213	50	25	350	50	1	0.85	0	0	30	8	0	0	1	1	1	1	1	1		0	0.7	0, 0.5
40214	8	3	250	25	1	1	0	0	30	1	0.5	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40215	12	2	400	0	1	1	0	0	30	1	0	0	1	0	0.02	0.03	1	1		0	0.7	0, 0.5
40216	10	1	120	0	1	0.85	0	0	30	1	0.7	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.8
40217	20	5	350	0	1	1	0	0	30	1	0	0	0	0	0.01	0.01	1	1		0	0.7	0, 0.5
40218	30	22	300	0	1	1.15	0	0	30	3	1	0	1	0	0.03	0.03	1	1		0	0.7	0, 0.8
40219	12	5	425	0	1	1.1	0	0	30	1	1	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40220	1	600	250	0	1	1.5	0	0	30	10	1	0	1	1	1	1	1	1	1	1	1	0, 0.5
40221	1	600	200	0	1	1.5	0	0	30	10	1	0	1	1	1	1	1	1	1	1	1	0, 0.5
40222	1	550	350	0	1	1.5	0	0	30	10	1	0	1	1	1	1	1	1	1	1	1	0, 0.5
40223	5	3	0	0	1	0.25	0	0	30	1	1	0	0	0	0	0	1	1		0	0.7	0, 0.5
40224	50	25	275	25	1	1.15	0	0	30	3	1	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40225	100	20	175	0	1	1	0	0	30	1	0.7	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40301	3	2	250	50	1	0.6	0	0	30	1	0	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40302	1	1	380	0	1	0.6	0	0	30	1	0	0	1	0	0.02	0.03	1	1		0	0.7	0, 0.5
40303	8	1	200	0	1	0.6	0	0	30	1	1	0	1	0	0.03	0.1	1	1		0	0.7	0, 0.5
40304	4	2.5	400	0	1	0.85	0	0	30	1	1	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40305	10	24	150	0	1	1.2	0	0	30	3	0	0	1	0	0.03	0.03	1	1		0	0.7	0, 0.5
40306	20	11	300	0	2	0.85	0	0	30	3	1	0	1	0	0.03	0.03	1	1		0	0.7	0, 0.8
40307	20	3	150	0	1	0.3	0	0	30	2	1	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40308	15	4	350	25	1	0.85	0	0	30	1	0	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.8
40309	15	13	0	0	1	1.1	0	0	30	0	1	0	0	0	0	0	1	1		0	0.7	0, 0.5
40310	14000	100	300	0	1	1.5	0	0	30	1	1	0	1	1	1	1	1	1	1	1	1.4	0, 0.5
40311	14000	100	200	0	1	1.5	0	0	30	1	1	0	1	1	1	1	1	1	1	1	0.7	0, 0.8
40312	10	8	400	0	1	0.85	0	0	30	2	0	0	1	0	0.03	0.03	1	1		0	0.7	0, 0.5
40313	50	25	350	50	1	0.85	0	0	30	8	0	0	1	1	1	1	1	1		0	0.7	0, 0.5
40314	8	3	250	25	1	1	0	0	30	1	0.5	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40315	12	2	400	0	1	1	0	0	30	1	0	0	1	0	0.02	0.03	1	1		0	0.7	0, 0.5
40316	10	1	120	0	1	0.85	0	0	30	1	0.7	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.8
40317	20	5	350	0	1	1	0	0	30	1	0	0	0	0	0.01	0.01	1	1		0	0.7	0, 0.5
40318	30	22	300	0	1	1.15	0	0	30	3	1	0	1	0	0.03	0.03	1	1		0	0.7	0, 0.8
40319	12	5	425	0	1	1.1	0	0	30	1	1	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40320	1	600	250	0	1	1.5	0	0	30	10	1	0	1	1	1	1	1	1	1	1	1	0, 0.5
40321	1	600	200	0	1	1.5	0	0	30	10	1	0	1	1	1	1	1	1	1	1	1	0, 0.5
40322	1	550	350	0	1	1.5	0	0	30	10	1	0	1	1	1	1	1	1	1	1	1	0, 0.5
40323	5	3	0	0	1	0.25	0	0	30	1	1	0	0	0	0	0	1	1		0	0.7	0, 0.5
40324	50	25	275	25	1	1.15	0	0	30	3	1	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40325	100	20	175	0	1	1	0	0	30	1	0.7	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40401	3	2	250	50	1	0.6	0	0	30	1	0	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40402	1	1	380	0	1	0.6	0	0	30	1	0	0	1	0	0.02	0.03	1	1		0	0.7	0, 0.5
40403	8	1	200	0	1	0.6	0	0	30	1	1	0	1	0	0.03	0.1	1	1		0	0.7	0, 0.5
40404	4	2.5	400	0	1	0.85	0	0	30	1	1	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40405	10	24	150	0	1	1.2	0	0	30	3	0	0	1	0	0.03	0.03	1	1		0	0.7	0, 0.5
40406	20	11	300	0	2	0.85	0	0	30	3	1	0	1	0	0.03	0.03	1	1		0	0.7	0, 0.8
40407	20	3	150	0	1	0.3	0	0	30	2	1	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40408	15	4	350	25	1	0.85	0	0	30	1	0	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.8
40409	15	13	0	0	1	1.1	0	0	30	0	1	0	0	0	0	0	1	1		0	0.7	0, 0.5
40410	14000	100	300	0	1	1.5	0	0	30	1	1	0	1	1	1	1	1	1	1	1	1.4	0, 0.5
40411	14000	100	200	0	1	1.5	0	0	30	1	1	0	1	1	1	1	1	1	1	1	0.7	0, 0.8
40412	10	8	400	0	1	0.85	0	0	30	2	0	0	1	0	0.03	0.03	1	1		0	0.7	0, 0.5
40413	50	25	350	50	1	0.85	0	0	30	8	0	0	1	1	1	1	1	1		0	0.7	0, 0.5
40414	8	3	250	25	1	1	0	0	30	1	0.5	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40415	12	2	400	0	1	1	0	0	30	1	0	0	1	0	0.02	0.03	1	1		0	0.7	0, 0.5
40416	10	1	120	0	1	0.85	0	0	30	1	0.7	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.8
40417	20	5	350	0	1	1	0	0	30	1	0	0	0	0	0.01	0.01	1	1		0	0.7	0, 0.5
40418	30	22	300	0	1	1.15	0	0	30	3	1	0	1	0	0.03	0.03	1	1		0	0.7	0, 0.8
40419	12	5	425	0	1	1.1	0	0	30	1	1	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40420	1	600	250	0	1	1.5	0	0	30	10	1	0	1	1	1	1	1	1	1	1	1	0, 0.5
40421	1	600	200	0	1	1.5	0	0	30	10	1	0	1	1	1	1	1	1	1	1	1	0, 0.5
40422	1	550	350	0	1	1.5	0	0	30	10	1	0	1	1	1	1	1	1	1	1	1	0, 0.5
40423	5	3	0	0	1	0.25	0	0	30	1	1	0	0	0	0	0	1	1		0	0.7	0, 0.5
40424	50	25	275	25	1	1.15	0	0	30	3	1	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40425	100	20	175	0	1	1	0	0	30	1	0.7	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40501	3	2	250	50	1	0.6	0	0	30	1	0	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40502	1	1	380	0	1	0.6	0	0	30	1	0	0	1	0	0.02	0.03	1	1		0	0.7	0, 0.5
40503	8	1	200	0	1	0.6	0	0	30	1	1	0	1	0	0.03	0.1	1	1		0	0.7	0, 0.5
40504	4	2.5	400	0	1	0.85	0	0	30	1	1	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40505	10	24	150	0	1	1.2	0	0	30	3	0	0	1	0	0.03	0.03	1	1		0	0.7	0, 0.5
40506	20	11	300	0	2	0.85	0	0	30	3	1	0	1	0	0.03	0.03	1	1		0	0.7	0, 0.8
40507	20	3	150	0	1	0.3	0	0	30	2	1	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40508	15	4	350	25	1	0.85	0	0	30	1	0	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.8
40509	15	13	0	0	1	1.1	0	0	30	0	1	0	0	0	0	0	1	1		0	0.7	0, 0.5
40510	14000	100	300	0	1	1.5	0	0	30	1	1	0	1	1	1	1	1	1	1	1	1.4	0, 0.5
40511	14000	100	200	0	1	1.5	0	0	30	1	1	0	1	1	1	1	1	1	1	1	0.7	0, 0.8
40512	10	8	400	0	1	0.85	0	0	30	2	0	0	1	0	0.03	0.03	1	1		0	0.7	0, 0.5
40513	50	25	350	50	1	0.85	0	0	30	8	0	0	1	1	1	1	1	1		0	0.7	0, 0.5
40514	8	3	250	25	1	1	0	0	30	1	0.5	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40515	12	2	400	0	1	1	0	0	30	1	0	0	1	0	0.02	0.03	1	1		0	0.7	0, 0.5
40516	10	1	120	0	1	0.85	0	0	30	1	0.7	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.8
40517	20	5	350	0	1	1	0	0	30	1	0	0	0	0	0.01	0.01	1	1		0	0.7	0, 0.5
40518	30	22	300	0	1	1.15	0	0	30	3	1	0	1	0	0.03	0.03	1	1		0	0.7	0, 0.8
40519	12	5	425	0	1	1.1	0	0	30	1	1	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40520	1	600	250	0	1	1.5	0	0	30	10	1	0	1	1	1	1	1	1	1	1	1	0, 0.5
40521	1	600	200	0	1	1.5	0	0	30	10	1	0	1	1	1	1	1	1	1	1	1	0, 0.5
40522	1	550	350	0	1	1.5	0	0	30	10	1	0	1	1	1	1	1	1	1	1	1	0, 0.5
40523	5	3	0	0	1	0.25	0	0	30	1	1	0	0	0	0	0	1	1		0	0.7	0, 0.5
40524	50	25	275	25	1	1.15	0	0	30	3	1	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40525	100	20	175	0	1	1	0	0	30	1	0.7	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
48001	10000	100	300	0	1	1.5	0	0	30	1	1	0	1	1	1	1	1	1	1	1	0	0, 0.5
48002	10000	100	300	0	1	1.5	0	0	30	1	1	0	1	1	1	1	1	1	1	1	0	0, 0.5
48003	10000	100	300	0	1	1.5	0	0	30	1	1	0	1	1	1	1	1	1	1	1	0	0, 0.5
